image,type,location,information,interval,line,defectID,level
10_1_001.jpg,crack,"[402.5820007324219, 538.6279907226562, 491.5050048828125, 800.0]",0.331,1,10,1,2
10_1_002.jpg,crack,"[307.1709899902344, 197.88299560546875, 692.9580078125, 357.2720031738281]",0.148,1,10,2,1
10_1_003.jpg,crack,"[108.41100311279297, 355.7860107421875, 679.5850219726562, 394.0329895019531]",0.228,1,10,3,2
10_1_004.jpg,crack,"[139.697998046875, 532.3720092773438, 1000.0, 818.1820068359375]",0.376,1,10,4,2
10_1_005.jpg,leakage,"[395.30499267578125, 99.60199737548828, 561.7670288085938, 800.0]",2844.945,1,10,5,1
10_1_006.jpg,spall,"[407.33599853515625, 421.4129943847656, 744.3259887695312, 772.7139892578125]",2386.1,1,10,6,2
10_1_007.jpg,leakage,"[1598.406005859375, 0.0, 1600.0, 1600.0]",33998.268,1,10,7,2
10_1_008.jpg,leakage,"[2000.0, 172.60400390625, 2000.0, 2000.0]",14564.71,1,10,8,1
10_1_009.jpg,leakage,"[371.1239929199219, 242.26400756835938, 556.8040161132812, 800.0]",3206.294,1,10,9,1
10_1_010.jpg,leakage,"[2000.0, 49.185001373291016, 2000.0, 2000.0]",34225.193,1,10,10,2
10_1_011.jpg,crack,"[826.7940063476562, 828.948974609375, 1200.0, 922.8480224609375]",0.191,1,10,11,1
10_1_011.jpg,crack,"[214.4010009765625, 893.2880249023438, 784.6699829101562, 985.3770141601562]",0.189,1,10,12,1
10_1_012.jpg,spall,"[241.08599853515625, 243.75399780273438, 437.05499267578125, 630.052978515625]",1277.612,1,10,13,1
10_1_013.jpg,crack,"[269.6210021972656, 463.65399169921875, 736.8359985351562, 654.3809814453125]",0.198,1,10,14,1
10_2_001.jpg,leakage,"[511.3370056152344, 50.91299819946289, 960.0, 960.0]",10837.131,2,10,15,1
10_2_002.jpg,leakage,"[1562.39599609375, 549.8920288085938, 1600.0, 1600.0]",12314.818,2,10,16,1
10_2_003.jpg,leakage,"[2000.0, 10.427000045776367, 2000.0, 2000.0]",18436.882,2,10,17,1
10_2_004.jpg,leakage,"[259.6409912109375, 9.734000205993652, 1200.0, 1200.0]",19232.234,2,10,18,1
10_2_005.jpg,leakage,"[2000.0, 233.18099975585938, 2000.0, 2000.0]",28376.215,2,10,19,2
10_2_006.jpg,leakage,"[402.43499755859375, 4.991000175476074, 798.0, 800.0]",10169.201,2,10,20,1
10_2_007.jpg,leakage,"[380.8909912109375, 2.6640000343322754, 575.6290283203125, 800.0]",4418.076,2,10,21,1
10_2_008.jpg,leakage,"[1200.0, 0.0, 1200.0, 1200.0]",6598.035,2,10,22,1
10_3_001.jpg,leakage,"[502.7640075683594, 162.2899932861328, 649.5789794921875, 800.0]",2889.143,3,10,23,1
10_3_002.jpg,spall,"[442.7799987792969, 272.3789978027344, 584.4190063476562, 778.280029296875]",1537.674,3,10,24,1
10_3_003.jpg,spall,"[381.8210144042969, 403.5010070800781, 698.781005859375, 643.969970703125]",1315.254,3,10,25,1
10_3_004.jpg,crack,"[308.4880065917969, 250.25900268554688, 800.0, 582.947998046875]",0.259,3,10,26,2
10_3_005.jpg,crack,"[327.46099853515625, 442.7359924316406, 800.0, 724.6220092773438]",0.438,3,10,27,2
10_3_006.jpg,crack,"[12.607000350952148, 505.5369873046875, 612.8519897460938, 628.1339721679688]",0.454,3,10,28,2
10_3_007.jpg,crack,"[288.5679931640625, 248.2209930419922, 1000.0, 671.0020141601562]",0.313,3,10,29,2
10_3_008.jpg,crack,"[142.55099487304688, 276.0690002441406, 604.7839965820312, 576.9639892578125]",0.32,3,10,30,2
10_3_009.jpg,crack,"[196.99600219726562, 554.4080200195312, 800.0, 791.448974609375]",0.442,3,10,31,2
